point_id,T_sunrise_mean,T_sunrise_p05,T_noon_mean,T_sunset_mean,T_sunset_p95,diurnal_gradient,kt_noon_mean,kt_noon_std,GHI_noon_mean,GHI_sunset_mean,RH_sunrise_mean,wind_noon_mean,wind_sunset_mean,HSI_sunrise,Ta_mean,Ta_p95,Ta_p05,daylength_mean,daylength_amplitude,GHI_daily_kWh,SAI,kt_daily_mean,kt_daily_std,cloudy_frac,CCI,HDD18,CDD24,DTR_true,seasonality,monsoon_index,lat,lon,population,weight,elevation_m,Tm_target_C,kt_p05,kt_worst_month,Tm_target_capped_C_p05day,tm_target_capped_flag,Tm_target_capped_C,T_mains_est_C,L_required_kJ_per_kg,int_GHI_x_ktstd,int_DTR_x_cloudyfrac,int_RH_x_TsunriseMinusTm,int_wind_x_TsunsetMinusTdelivery,int_CCI_x_1minusSAI,PC1,PC2,PC3,PC4,T_sunrise_p05_z,T_sunset_mean_z,T_sunset_p95_z,diurnal_gradient_z,kt_noon_mean_z,kt_noon_std_z,GHI_noon_mean_z,GHI_sunset_mean_z,RH_sunrise_mean_z,wind_noon_mean_z,wind_sunset_mean_z,HSI_sunrise_z,daylength_mean_z,daylength_amplitude_z,GHI_daily_kWh_z,SAI_z,kt_daily_mean_z,kt_daily_std_z,cloudy_frac_z,CCI_z,DTR_true_z,seasonality_z,monsoon_index_z,Tm_target_C_z,Tm_target_capped_C_z,L_required_kJ_per_kg_z,int_GHI_x_ktstd_z,int_DTR_x_cloudyfrac_z,int_RH_x_TsunriseMinusTm_z,int_wind_x_TsunsetMinusTdelivery_z,int_CCI_x_1minusSAI_z,PC1_z,PC2_z,PC3_z,PC4_z,region
TNP_0001,26.4306012635637,21.150415039062523,32.44370182719252,31.050333765749954,35.60292968750002,6.013100563628818,0.7938960175974851,0.1547335074716714,759.1385718298166,27.2961980110618,82.64415889464034,3.128286522977472,2.9002593491208333,25.29174035454372,29.974878952168723,34.23122558593752,25.520532226562523,12.131522724316484,0.7726780471466661,5.096340128661374,0.8121941499773154,0.8114705978761354,0.1912294822049953,0.0339447029838488,5.0,0.0,14722.94,7.662775800711744,0.1589473732146742,0.9274860328858334,13.125,80.125,5068599.2233457565,0.0711614353911609,44.29656191525649,57.0,0.3973891920022596,0.6973876519773939,43.20948171543511,True,53.20059503021293,27.974878952168723,276.59147011866514,0.9745704839444536,0.2601106485869843,-2526.382246487659,-54.95894665860307,0.9390292501134228,1.5321595303935684,0.1400392198271301,0.4214580901815876,-0.145496744497971,0.2147758383485995,0.2305640926659949,0.1249706469996527,-0.5237654890911393,-0.0214355011744168,-0.9581640886585427,0.097251719702943,-0.6168917285034181,0.6508900654121106,0.3861972235739997,0.475772971306458,0.8460311438923448,1.6550839292537878,1.6161446199199867,-1.903221972671961,-0.1357262570275124,0.0093046728629832,3.086853268703249,2.850531508754854,2.022622310546965,-1.035629201796225,0.8504783377406159,-0.1401531675293685,0.0,0.3155139687966134,-0.4800371544345014,2.753700923399315,2.0681811977747357,0.2462466735142621,-0.4398491332848217,2.0497932157000465,0.5979761852813982,0.1733540580990857,0.6632344348276922,-0.3064024798713036,TamilNadu
TNP_0002,26.552430893284217,21.504296875000023,32.29635616980031,30.857629373616884,34.87539062500002,5.743925276516094,0.788017801680487,0.155800007220578,753.3370366106112,26.341931853344025,83.49156949096424,3.2464116037860693,2.9559075753790105,25.45811394501716,29.902138812233808,33.897403971354194,25.660058593750023,12.131150344722936,0.7573739362844449,5.250551489186969,0.8224449018582426,0.8200487670893551,0.1850365036624371,0.0333972077744319,5.0,0.0,14722.94,7.662775800711744,0.153812460296003,0.9324765696714372,12.875,80.125,3176285.3368492126,0.0445939822468122,36.93468884953068,57.0,0.418524751238089,0.7111219176415654,43.73195731552576,True,53.400598641915536,27.902138812233808,277.5049407959678,0.9715436898587592,0.2559153155452588,-2542.115331904297,-56.583078345238505,0.887775490708787,1.4914373213545429,0.1128925673269069,0.5257578546158223,0.057536060560089,0.4183739443993552,0.1203671250867251,-0.2300209148308468,-0.8720095391972812,-0.5941035271243441,-0.8159483640863954,-0.4493765829445483,-0.7672434333969228,0.976881190563312,0.6014217112171837,0.5610960895520993,0.9658887108816308,1.4408855102264788,1.414117696562514,-0.2531555737354286,0.4839594880199444,0.5630008988184547,2.49808902651012,2.767618290457558,2.022622310546965,-1.035629201796225,0.486548936601861,-0.0266149391638281,0.0,0.5663419803744859,-0.4354880797334434,2.693169357205808,1.9944440563133885,0.1608230305684437,-0.5746105921882896,1.7456231927564505,0.5820829896093175,0.1397493123676497,0.8273674694727182,0.1211655401532549,TamilNadu
TNP_0003,27.04402096681363,22.891748046875023,30.921928122546067,29.89830658987277,33.257511393229194,3.877907155732437,0.7960578542065393,0.1500613436957625,763.008856208921,27.46047401947907,80.88592474161987,3.550635815665529,3.9592603436974114,25.725300482400574,29.28808522641082,32.62111816406252,25.57892252604169,12.131522724287846,0.7726780539733342,5.096340128661374,0.8121941499773154,0.8114705978761354,0.1912294822049953,0.0339447029838488,5.0,0.0,15832.214583333332,2.1168436901177112,0.1589473732146742,0.9352268893725024,13.125,80.375,2187441.213805318,0.030710941968187,12.285439360663428,57.0,0.3973891920022596,0.6973876519773939,42.859021067505886,True,53.10404014373361,27.28808522641082,285.2162257267329,0.9745704839444536,0.0718556303242801,-2423.0170656398554,-79.58783755988031,0.9390292501134228,1.0190210324579192,-0.0950495886994164,1.424939548282898,0.5922200065446784,1.2166133626031808,-0.4282164361291732,-1.0194403493913866,-3.286160239744397,0.1891751196014184,-1.5811882922665317,0.4619150201875229,-0.5910088259831123,-0.0254865722046978,1.1557197458276527,2.099495292001838,1.1583731563512447,1.6550839127815509,1.6161447100376531,-1.903221972671961,-0.1357262570275124,0.0093046728629832,3.086853268703249,2.850531508754854,2.022622310546965,-3.671340603884427,0.8504783377406159,0.0359567719993025,0.0,0.1944228046043072,-0.0594162287615082,2.753700923399315,-1.2405875637003865,0.80747354465519,-2.483418196275141,2.0497932157000465,0.3977068298848576,-0.117661551828359,2.242379486799853,1.247159716602591,TamilNadu
TNP_0004,26.06450870150095,21.375268554687523,33.475304827208134,32.456439944473715,37.36562500000002,7.410796125707183,0.7891548275277154,0.1602015889297668,753.0207457742052,27.515387441972287,77.18949677864829,2.071416646714377,2.100500089475556,24.6136512550618,30.665417824394268,34.64512532552085,26.63963216145836,12.12693223538214,0.5761310312533343,5.437572751163428,0.8247086724135473,0.8215984334976926,0.1428997361393857,0.0106761565836298,3.0,0.0,12871.993333333332,10.99419655078018,0.1288411731358976,0.959785730160559,9.875,78.125,2115244.36277926,0.0296973223617932,209.53759096187284,57.0,0.5308496730088822,0.7059342757300587,47.68066976107545,True,53.29263257655355,28.665417824394268,267.91968296125674,0.7770277113799674,0.1173757638873318,-2387.8950059313947,-36.85024946635274,0.5258739827593581,1.7945781197504098,0.2794430059594137,-0.6866113384896515,-0.1347278953323775,0.3441403472639124,1.034638329245071,0.9850508739849568,1.2844954719149748,-0.4833321031786136,-0.2290057673557314,-0.4791779228511325,-0.5823568093244281,-1.4474686856179866,-1.5394249733987952,-0.7504647449178454,0.3575274731199382,-0.9854352864595896,-0.9784385789016092,1.7479778007596478,0.6208105560660473,0.6630274220145789,-1.5078383037223912,-0.6732802688803223,-0.237955565946702,0.5476328145806935,-1.2832543153280236,0.5946877048782764,0.0,0.4309398580723084,-0.9029517629338228,-1.1968728767977574,-0.4405260442702846,0.9981706780276716,1.062710340524991,-0.4021137002048746,0.7003937624968866,0.3459215150603579,-1.080497192101033,-0.2837242948639141,TamilNadu
TNP_0005,25.028689047107036,20.536035156250023,31.22745747547163,31.194936333813736,36.72048339843752,6.198768428364598,0.7931068445443783,0.1678710958594225,755.4633713593527,34.60964336129718,79.73051419971799,2.1473847560763044,1.671529103699978,23.854927924859467,29.1503609521308,33.507511393229194,25.596704101562523,12.129337500599105,0.6813416909866667,5.275799865863673,0.8160117092561003,0.81232369546151,0.1555748075150028,0.0114973993977552,2.0,0.0,12104.44625,12.076693128935124,0.1504696479518056,0.8892791875600842,11.625,78.125,1714135.3546363115,0.0240658862371323,370.4388512036476,57.0,0.5010874788720237,0.70181957500624,46.32960303993454,True,53.21148578433,27.1503609521308,286.94576716314145,0.8207815486194185,0.138850564307493,-2549.089061913232,-31.433211214961347,0.3679765814877993,-0.1104002809614188,-0.2450841729687681,-0.1592483539520756,-0.1960864394515789,-0.1386940711903634,0.3132542915162635,0.6702638934020392,-0.2835587082841386,-0.0983183821092033,0.7937084772846178,-0.2490305175242779,0.5353957839062675,-0.4699624664171312,-1.4010106984393975,-1.4081881730370045,-0.1890660824875476,0.3981099339132716,0.4104291626935528,0.0170028493530443,0.0950555522891604,0.0643696758551916,-0.3028238277435428,-0.5489104414343713,-1.3682445041935358,1.062090712165532,0.2496320280172022,-1.009385820464691,0.0,0.3291722531471406,0.0249318215521112,-0.32185851503549,-0.0630851162946651,0.1229587842042931,1.5121861950387865,-1.3391699615483152,-0.0430873793190099,-0.303388836444826,-0.2506037836054792,-0.4129396264116125,TamilNadu
TNP_0006,26.3250828070344,21.638574218750023,33.326256975645634,32.783879440542925,38.01748046875002,7.001174168611236,0.8090489268852655,0.162220595211858,770.9919419781567,28.528190087585177,78.21797874797832,3.06249588901596,2.819196805136014,24.90842467948083,30.81173974107432,34.80792643229169,26.985640462239605,12.128288104230142,0.6360865695644451,5.410225023268546,0.8321275162214008,0.8285176842622313,0.1487787629298056,0.0114973993977552,3.0,0.0,13839.055,11.1382617027101,0.1412169227172108,0.960711970958755,10.875,78.625,1304575.5502040386,0.0183158037631258,155.65714057871446,57.0,0.5238380086322935,0.7044815951895939,47.369510762939306,True,53.07939644037168,28.81173974107432,266.0821723315887,0.804926586133773,0.1280610433927789,-2399.3300210953785,-48.53563207805783,0.5036174513357976,2.1483185157783757,0.3421050914408521,-0.4828162105030887,-0.0136079473592975,0.4956274513520394,1.2218828395185817,1.3031137834102704,0.7545493134782257,1.454792451619639,0.0402249020539042,1.2140918939020593,-0.4227822469688532,-1.0518210552554896,0.2663263596629698,0.3514831333227563,0.5698858490101697,-0.205518855258752,-0.1869758763453086,1.455356253729627,1.0692997796725985,1.109645218835422,-0.9489213416647678,-0.5489104414343713,-0.237955565946702,0.6160999641983236,-0.4061412649014482,0.6157603356963529,0.0,0.1635167071615294,-0.9925653655803666,-0.6389351591756935,-0.2527216533885683,0.9360836412780228,0.0931219619737208,-0.5341970781343571,0.8384527102765595,0.4234906904711358,-0.7597916470429962,-0.0286570591749911,TamilNadu
TNP_0007,22.68209469031092,19.638696289062523,28.59204758274292,27.06813337412106,31.973901367187523,5.909952892432003,0.778249884458486,0.1701527346922509,742.6803083572826,48.50977338929313,83.69153619113281,2.944446980243636,2.151591111345829,21.94818901705379,26.11409188239163,29.97080891927086,23.58990885416669,12.128288104372167,0.6360865172977785,5.048638915959485,0.7840629984393008,0.7866090238432492,0.1735815252616066,0.0213523131672597,3.0,0.0,4459.810416666666,9.994626334519571,0.1437977436294094,0.8525219774800783,10.875,76.875,1258467.862797141,0.0176684672754964,626.922971672921,57.0,0.4382204539222732,0.6048303518150628,43.32065354751322,True,49.86252866186005,24.11409188239163,325.0752341409259,0.8763504435273515,0.2134083914844028,-2872.1182142297125,-49.34000039880919,0.6478110046820975,-4.258914006269528,-1.3086083407853848,-0.3871321462512661,0.5797500949002821,-0.6549581890168917,-2.046635729263635,-1.6457582358290253,-0.6572122224888937,-1.5457143478480295,1.0979607006492538,-1.4534675789982656,2.725464278998684,1.0538065557446208,0.0512406578505976,-0.6721289992266268,-1.5627040843066202,-0.2055187735627515,-0.1869765663085435,-2.413626446114419,-1.8363306421861103,-1.5954386437071035,1.4090683507307902,0.9435274879169948,-0.237955565946702,0.0725857776447037,-0.2232293783906523,-1.8456382500996396,0.0,-3.8708131808046256,1.8844687666466768,0.7894401545097136,1.2473426840530792,-1.6309455669023214,0.0263799303440422,0.3215324710564421,-1.662182756032191,-1.6199216663552785,-0.6092168502732115,1.220899253766789,TamilNadu
TNP_0008,24.662769935037147,20.925561523437523,30.876945923479017,30.179760156584653,35.61208496093752,6.21417598844187,0.7961607885525284,0.1593785598823811,757.7000383633841,42.84990265039858,79.74386025120823,2.138144121565063,2.146686888189297,23.53054825082302,28.57315867170027,32.862369791666694,25.30955403645836,12.1286347689107,0.6511429212444444,5.290631888858473,0.8116570034534867,0.8089440468960872,0.1490793442160955,0.006569942513003,2.0,0.0,11906.758333333331,11.227637558171365,0.1417460169048132,0.9145934405380742,11.125,77.375,1234266.652519226,0.0173286903892815,384.84592765177206,57.0,0.5276432447701519,0.6944778505510285,47.114899419508816,True,52.977580385886725,26.57315867170027,294.194273400788,0.7887239324797839,0.0737649333140192,-2578.695555211567,-42.54784899262681,0.3766859930930266,-0.6543383211616142,-0.401174898946778,0.0530551247356086,-0.0998966762540564,0.0854113294332866,-0.2672687316025355,0.1294378226938284,-0.2636252620115775,0.1992031977721349,-0.3387551343273568,-0.0382888014429893,1.8337097006902168,-0.4648283621700231,-1.4178471807051956,-0.6796484412722084,-0.4227531622707631,-0.0061120461987425,0.011780420853711,0.1757059610340509,-0.168198220809779,-0.1537769483506519,-0.9203451869076084,-1.295129406110047,-1.3682445041935358,0.6585759549989774,-0.3686424924996835,-0.4334687279769542,0.0,0.035827420574345,0.3784344066657567,-0.9629651309541912,-1.2070296689524025,-0.0377912813689967,0.5899550641354171,-1.2874831787920908,-0.2553772798522802,-0.4966129975999869,0.0834910670562123,-0.2103730185906014,TamilNadu
TNP_0009,24.729514161550565,18.476831054687523,31.56022180963559,31.105052358473756,36.32375488281252,6.830707648085024,0.795826135210845,0.1766160867201311,755.1093491631723,29.309129761216585,80.10804996985416,3.237526720670816,2.4794459840408734,23.610346746612283,29.131596109886637,33.51365559895835,24.33832194010419,12.131150344835785,0.7573739076266675,5.281575272378868,0.824761992919618,0.8205200973744438,0.1677403520682583,0.0224473035860936,4.0,0.0,12227.740833333331,11.189364905557076,0.1625937329650596,0.8887300846900045,12.875,79.125,901144.725508362,0.0126517701117467,375.49680295067634,57.0,0.4812691861579826,0.7006453528334731,45.4775748404919,True,52.92853629328302,27.131596109886637,287.18141605204363,0.8859332956638385,0.2511710709706212,-2585.125692097978,-46.84900204844482,0.7009520283215278,-0.4361933606990882,-0.2891136223975825,-0.0320462185646602,-0.7948363985206258,-1.323411715540208,0.2618546248724629,0.4766862799877567,0.5340091882969357,0.1666005728829782,1.9598364701956292,-0.2823869559299257,-0.2997394141073475,-0.3247279000505848,0.585233409772984,-0.1694427152004872,-0.3652653510893797,1.4408855751385974,1.4141173182561448,0.0787998803787852,0.6240339252310203,0.5934239172440993,0.8537501165293968,1.1093539245116009,0.8923333723001315,0.6403868273875979,1.108908722308389,-1.0218782976745826,0.0,-0.0256796298369295,0.0364241882101448,0.9810835342704678,1.9110592499468804,-0.0727040593099751,0.2330691874920586,0.6369026325316549,-0.1702389579555812,-0.3578927371647494,-0.050430057349094,-1.6738508097828382,TamilNadu
TNP_0010,26.647258291021227,21.747094726562523,32.35495747686592,31.114895227280865,35.85622558593752,5.707699185844692,0.7933406156646499,0.1547178920098671,753.5663306507487,26.91088273515236,81.28041097089617,2.978819709041728,2.854201207049043,25.396604034310624,30.03903699838934,34.09300130208336,25.858544921875023,12.129337500454586,0.6813417341866668,5.277478562825075,0.8256301162131793,0.8210631387609231,0.1679282321555186,0.0213523131672597,4.0,0.0,15466.175416666663,9.545091705447575,0.1573499115748268,0.9710293379446524,11.625,79.625,890343.420427084,0.0125001234062543,49.32902075696085,57.0,0.4799355047596431,0.6913321713116554,45.79851124115132,True,52.74006961408443,28.03903699838934,275.78577337422666,0.8862376452938618,0.2038097873049296,-2467.083320199256,-53.9018888375426,0.6974795351472829,1.6972354792361923,0.1631133555657164,0.5779363707914772,-0.0228193449285716,0.5580623310619814,0.2674832163270644,0.2485625078718484,-0.9188768451459076,-0.0755439131444114,-0.96024638095848,-0.4277721959621843,-0.6776010056646745,0.1262686811474583,0.1138679415216623,0.4051539315560502,0.9215762198063696,0.3981098507837032,0.4104297329692893,0.0349649595410665,0.6765143321526328,0.6284756816424801,0.8716118088376835,0.9435274879169948,0.8923333723001315,-0.1410561357164824,0.7372605934205739,0.8504877045747963,0.0,-0.2620389734989702,-0.5193301994618207,0.9871700929375404,1.0786376903913115,0.5682134188911133,-0.3521403253823472,0.6162948109640135,0.662402561394637,0.2019174496429034,0.9094790470936334,-0.0480553973855444,TamilNadu
